suject,session,trials,category,target,rp,,critical_cat,critical_target,critical_rp
2120,1,1,BOY NAMES,nate,n _ _ _,,,,
2120,1,2,RELATIVES,grandmother,g _ _ _ _ _ _ _ _ _ _,,,,
2120,1,3,DANCES,mambo,m _ _ _ _,,,,
2120,1,4,MILITARY TITLES,master sergeant,m _ _ _ _ _ _ _ _ _ _ _ _ _ _,,,,
2120,1,5,GIRL NAMES,nicole,n _ _ _ _ _,,,,
2120,1,6,TRANSPORTATION,train,t _ _ _ _,,TRANSPORTATION,train,t _ _ _ _
2120,1,7,TREES,evergreen,e _ _ _ _ _ _ _ _,,TREES,evergreen,e _ _ _ _ _ _ _ _
2120,1,8,SOURCES OF FUEL,kerosene,k _ _ _ _ _ _ _,,SOURCES OF FUEL,kerosene,k _ _ _ _ _ _ _
2120,1,9,VEGETABLES,spinach,s _ _ _ _ _ _,,VEGETABLES,spinach,s _ _ _ _ _ _
2120,1,10,SPORTS,racquetball,r _ _ _ _ _ _ _ _ _ _,,SPORTS,racquetball,r _ _ _ _ _ _ _ _ _ _
2120,1,11,FRUIT,blueberry,b _ _ _ _ _ _ _ _,,FRUIT,blueberry,b _ _ _ _ _ _ _ _
2120,1,12,INSECTS,flea,f _ _ _,,INSECTS,flea,f _ _ _
2120,1,13,KITCHEN TOOLS,ladle,l _ _ _ _,,KITCHEN TOOLS,ladle,l _ _ _ _
2120,1,14,STATES,idaho,i _ _ _ _,,STATES,idaho,i _ _ _ _
2120,1,15,FOUR-FOOTED ANIMALS,donkey,d _ _ _ _ _,,FOUR-FOOTED ANIMALS,donkey,d _ _ _ _ _
2120,1,16,SCIENCES,virology,v _ _ _ _ _ _ _,,SCIENCES,virology,v _ _ _ _ _ _ _
2120,1,17,FABRICS,cashmere,c _ _ _ _ _ _ _,,FABRICS,cashmere,c _ _ _ _ _ _ _
2120,1,18,CITIES,atlanta,a _ _ _ _ _ _,,CITIES,atlanta,a _ _ _ _ _ _
2120,1,19,FISH,herring,h _ _ _ _ _ _,,FISH,herring,h _ _ _ _ _ _
2120,1,20,BIRDS,ostrich,o _ _ _ _ _ _,,BIRDS,ostrich,o _ _ _ _ _ _
2120,1,21,PRECIOUS STONES,jade,j _ _ _,,PRECIOUS STONES,jade,j _ _ _
2120,1,22,SEASONINGS,paprika,p _ _ _ _ _ _,,SEASONINGS,paprika,p _ _ _ _ _ _
2120,1,23,BODY PARTS,wrist,w _ _ _ _,,BODY PARTS,wrist,w _ _ _ _
2120,1,24,COLLEGES,u chicago,u _ _ _ _ _ _ _ _,,,,
