session,index,condition,type,stim,response,trialtime,globaltime,recall1,recall2,recall3,recall4,recall5
1,1,0,study,waltz,[],7.114077399979578,148.10824660002254,,,,,
1,2,0,study,euro,[],13.131466099992394,154.12627670000074,,,,,
1,3,0,study,erin,[],19.147998699976597,160.14197590001277,,,,,
1,4,0,study,zach,[],25.169111399998656,166.16540200001327,,,,,
1,5,0,study,nancy,[],31.16401369997766,172.15795310001704,,,,,
1,6,0,study,sandpaper,[],37.177167799993185,178.17116750002606,,,,,
1,7,0,study,rat,[],43.17951359998551,184.17347890001838,,,,,
1,8,0,study,potato,[],49.181134099984774,190.17696950002573,,,,,
1,9,0,study,hornet,[],55.200738699990325,196.19596430001548,,,,,
1,10,0,study,jets,[],61.21983219997492,202.2161524000112,,,,,
1,11,0,study,opera,[],67.2383849999751,208.23488950001774,,,,,
1,12,0,study,letter,[],73.25138979998883,214.24778050000896,,,,,
1,13,0,study,kansas,[],79.26724159999867,220.26134740002453,,,,,
1,14,0,study,motorboat,[],85.26257110000006,226.25656090001576,,,,,
1,15,0,study,cadillac,[],91.27563419999206,232.26963600001181,,,,,
1,16,0,study,vinegar,[],97.27959649998229,238.27355820001685,,,,,
1,17,0,study,igloo,[],103.28981599997496,244.28861380001763,,,,,
1,18,0,study,ball,[],109.31240649998654,250.30885520001175,,,,,
1,19,0,study,aqua,[],115.324372699979,256.3183788000024,,,,,
1,20,0,study,germany,[],121.32981479997397,262.3238847000175,,,,,
1,21,0,study,teeth,[],127.3266724999994,268.32069480000064,,,,,
1,22,0,study,dallas,[],133.33357059999253,274.32764339999994,,,,,
1,23,0,study,flannel,[],139.34243779999088,280.33880120000686,,,,,
1,24,0,study,eric,[],145.36444039997878,286.36081680000643,,,,,
1,25,0,study,william,[],151.37054539998644,292.36686060001375,,,,,
1,1,0,recall,[],zach,4.6477486999938264,910.2013394000242,zach,,,,
1,2,0,recall,[],erin,8.533574700006284,914.8670737000066,erin,,,,
1,3,0,recall,[],jets,1.5162308999861125,923.4161707000167,jets,,,,
1,4,0,recall,[],dallas,4.716258200001903,924.949483400007,dallas,,,,
1,5,0,recall,[],i,44.06546209999942,929.6828891000187,i,,,,
1,6,0,recall,[],have,2.099154499999713,973.7667614000093,have,,,,
1,7,0,recall,[],no,1.465506499982439,975.8835147000209,no,,,,
1,8,0,recall,[],idea,1.2663822999747936,977.3660098000255,idea,,,,
1,9,0,recall,[],what,1.4489983999810647,978.6500035000208,what,,,,
1,10,0,recall,[],is,1.2494022999890149,980.1160238000157,is,,,,
1,11,0,recall,[],left,1.5147072999970987,981.3842859000142,left,,,,
1,12,0,recall,[],i,4.016270099993562,982.9159937000077,i,,,,
1,13,0,recall,[],need,1.3496745000011288,986.9493481000245,need,,,,
1,14,0,recall,[],a,0.5989029000047594,988.316684200021,a,,,,
1,15,0,recall,[],new,1.2835724000178743,988.9326572999998,new,,,,
1,16,0,recall,[],strategy,6.565717199991923,990.233323500026,strategy,,,,
1,17,0,recall,[],i,4.2656358999956865,996.8166694000247,i,,,,
1,18,0,recall,[],cant,1.832317199994577,1001.09932020001,cant,,,,
1,19,0,recall,[],try,2.2816777999978513,1002.949961700011,try,,,,
1,20,0,recall,[],in,1.3816309999965597,1005.2499720000196,in,,,,
1,21,0,recall,[],tetris,1.8661687000130769,1006.6498839000124,tetris,,,,
1,22,0,recall,[],anymore,2.4997105000074953,1008.5326313000114,anymore,,,,
1,23,0,recall,[],maybe,5.783025799988536,1011.0492920000106,maybe,,,,
1,24,0,recall,[],that,1.8485752000124194,1016.8499761999992,that,,,,
1,25,0,recall,[],will,1.4821499999961816,1018.7163565000228,will,,,,
1,26,0,recall,[],help,1.7150345999980345,1020.2166028000065,help,,,,
1,27,0,recall,[],me,1.2490928000188433,1021.9499419000058,me,,,,
1,28,0,recall,[],remember,2.849122899991926,1023.2165531000064,remember,,,,
1,29,0,recall,[],what,1.6829611999855842,1026.0826679000165,what,,,,
1,30,0,recall,[],was,2.21779249998508,1027.7826317000145,was,,,,
1,31,0,recall,[],displayed,2.682309700001497,1030.0159622000065,displayed,,,,
1,32,0,recall,[],before,1.8481627999863122,1032.7166925000201,before,,,,
1,33,0,recall,[],how,2.681686100026127,1034.583273199998,how,,,,
1,34,0,recall,[],were,1.2479859000013676,1037.2833632000256,were,,,,
1,35,0,recall,[],there,1.8476153000083286,1038.5506456000148,there,,,,
1,36,0,recall,[],this,1.6344858999946155,1040.4165206000034,this,,,,
1,37,0,recall,[],many,2.08293840000988,1042.0659218000073,many,,,,
1,38,0,recall,[],words,1.7496686000085901,1044.1658951000136,words,,,,
1,39,0,recall,[],oh,1.8495187999797054,1045.9326410000212,oh,,,,
1,40,0,recall,[],,0.08291310002095997,1047.799336600001,,,,,
1,41,0,recall,[],my,1.4829179999942426,1047.8993562000105,my,,,,
1,42,0,recall,[],lord,1.5853935000195634,1049.399264000007,lord,,,,
1,43,0,recall,[],rats,5.132219899998745,1050.9992397000024,rats,,,,
1,44,0,recall,[],that,2.198329000006197,1056.1498983000056,that,,,,
1,45,0,recall,[],was,1.316698799986625,1058.3665753000241,was,,,,
1,46,0,recall,[],one,1.9493367000250146,1059.6994483000017,one,,,,
1,47,0,recall,[],done,9.232941399997799,1061.6658426000213,done,,,,
2,26,0,study,josh,[],9.437118100002408,1268.1387236000155,,,,,
2,27,0,study,michelle,[],15.474058099993272,1274.1778776000137,,,,,
2,28,0,study,michelle,[],21.46753940000781,1280.171172500006,,,,,
2,29,0,study,jim,[],27.497100400010822,1286.1985739000083,,,,,
2,30,0,study,jake,[],33.49249510001391,1292.1965342000185,,,,,
2,31,0,study,zucchini,[],39.49892300000647,1298.2003355000052,,,,,
2,32,0,study,spider,[],45.503832599992165,1304.207552100008,,,,,
2,33,0,study,kayak,[],51.52006790001178,1310.2237755000242,,,,,
2,34,0,study,nectarine,[],57.53528040001402,1316.236701100017,,,,,
2,35,0,study,chicken,[],63.53680349999922,1322.2405461000162,,,,,
2,36,0,study,dresser,[],69.55462879998959,1328.2583672000037,,,,,
2,37,0,study,periodical,[],75.58068439998897,1334.2822024000052,,,,,
2,38,0,study,vest,[],81.58560769999167,1340.289366300014,,,,,
2,39,0,study,israel,[],87.6008342000132,1346.3046219000244,,,,,
2,40,0,study,boron,[],93.62117140000919,1352.3251357000263,,,,,
2,41,0,study,entrance,[],99.61989500001073,1358.321303100005,,,,,
2,42,0,study,acura,[],105.63558520001243,1364.3370524000202,,,,,
2,43,0,study,hawaii,[],111.6411264000053,1370.3444041000039,,,,,
2,44,0,study,lace,[],117.65219379999326,1376.356078300014,,,,,
2,45,0,study,townhouse,[],123.67271980000078,1382.376925700024,,,,,
2,46,0,study,gray,[],129.68050389998825,1388.3842788000184,,,,,
2,47,0,study,willow,[],135.68731720000505,1394.3910666000156,,,,,
2,48,0,study,rat,[],141.70981609998853,1400.4116272000247,,,,,
2,49,0,study,magnolia,[],147.70196299999952,1406.4033765000058,,,,,
2,50,0,study,franc,[],153.7221123999916,1412.423579400027,,,,,
2,1,0,recall,[],jim,2.922888100001728,2025.957516000024,,jim,,,
2,2,0,recall,[],erin,2.0494797000137623,2028.8976804999984,,erin,,,
2,3,0,recall,[],michelle,2.3322446000238415,2030.9646071000025,,michelle,,,
