session,index,condition,type,stim,response,trialtime,globaltime,recall1,recall2,recall3,recall4,recall5
1,1,1,study,lynne,[],6.140924799998174,155.9575743000023,,,,,
1,2,1,study,ken,[],18.174018499994418,167.99106439999014,,,,,
1,3,1,study,euro,[],30.184368199988967,180.00071249999746,,,,,
1,4,1,study,ucla,[],42.2334744999971,192.0498508999881,,,,,
1,5,1,study,era,[],54.267254599995795,204.08363349999127,,,,,
1,6,1,study,trolley,[],66.29833159998816,216.11469529999886,,,,,
1,7,1,study,iowa,[],78.32719219999854,228.14355259999866,,,,,
1,8,1,study,racquetball,[],90.33050479998928,240.14684239999042,,,,,
1,9,1,study,maroon,[],102.35591439998825,252.17229399998905,,,,,
1,10,1,study,sheep,[],114.36474609999277,264.1811177999916,,,,,
1,11,1,study,dragonfly,[],126.38790659999358,276.2042431000009,,,,,
1,12,1,study,volvo,[],138.3867448999954,288.203047899995,,,,,
1,13,1,study,goldfish,[],150.38983970000118,300.2062128999969,,,,,
1,14,1,study,nitrogen,[],162.41705989999173,312.23341859999346,,,,,
1,15,1,study,anthropology,[],174.421932799989,324.2382821999927,,,,,
1,16,1,study,hummingbird,[],186.44722469999397,336.2635850999941,,,,,
1,17,1,study,oil,[],198.47434369999974,348.2906890000013,,,,,
1,18,1,study,blueberry,[],210.50428690000263,360.3206122999982,,,,,
1,19,1,study,farmer,[],222.5357515999931,372.3521108999994,,,,,
1,20,1,study,wing,[],234.56666149999364,384.38301049999427,,,,,
1,21,1,study,cabin,[],246.59653280000202,396.412897000002,,,,,
1,22,1,study,jacket,[],258.62681760000123,408.4431526999979,,,,,
1,23,1,study,peru,[],270.63002099998994,420.44637279999733,,,,,
1,24,1,study,light year,[],282.66061569999147,432.4769934999931,,,,,
1,25,1,study,loafers,[],294.6875551999983,444.50388449999446,,,,,
1,1,1,rp,g _ _ _ _ _ _ _,gasoline,9.812210599993705,771.4003214999975,,,,,
1,2,1,rp,f _ _ _ _ _,funnel,9.511616000003414,783.2997202999977,,,,,
1,3,1,rp,i _ _ _,itsy,8.628551000001607,794.8816809999989,,,,,
1,1,1,recall,[],lynne,4.347090600000229,1110.5996250999888,lynne,,,,
1,2,1,recall,[],ken,1.393270600005053,1114.9866333999962,ken,,,,
1,3,1,recall,[],ucla,1.278949300001841,1116.434221299991,ucla,,,,
1,4,1,recall,[],euro,1.2443455000029644,1117.7519826999924,euro,,,,
1,5,1,recall,[],hummingbird,4.196475699995062,1119.0494311999937,hummingbird,,,,
1,6,1,recall,[],era,3.163850099997944,1123.2983902999986,era,,,,
1,7,1,recall,[],trolley,1.545554299998912,1126.5163430999964,trolley,,,,
1,8,1,recall,[],iowa,1.48440980000305,1128.1108824999974,iowa,,,,
1,9,1,recall,[],racquetball,1.9960684000106994,1129.6341967999906,racquetball,,,,
1,10,1,recall,[],maroon,1.04410949999874,1131.6671870999999,maroon,,,,
1,11,1,recall,[],nitrogen,5.060405399999581,1132.7505456999934,nitrogen,,,,
1,12,1,recall,[],oil,1.033410999996704,1137.860559599998,oil,,,,
1,13,1,recall,[],anthropology,11.908006199999363,1138.9518887000013,anthropology,,,,
1,14,1,recall,[],farmer,1.23278809999465,1150.9102932999958,farmer,,,,
1,15,1,recall,[],done,4.546009800003958,1152.1982253999886,done,,,,
2,26,1,study,lily,[],14.314255500008585,1356.592987600001,,,,,
2,27,1,study,loyola,[],26.335500000001048,1368.6142510999925,,,,,
2,28,1,study,zach,[],38.34130450000521,1380.6198450999946,,,,,
2,29,1,study,galoshes,[],50.36593949999951,1392.6444979999942,,,,,
2,30,1,study,linda,[],62.39566660000128,1404.6742292999988,,,,,
2,31,1,study,orlando,[],74.42494409999927,1416.703485799997,,,,,
2,32,1,study,hawaii,[],86.45564620000368,1428.7342133999919,,,,,
2,33,1,study,vise,[],98.48440040000423,1440.7629536000022,,,,,
2,34,1,study,parakeet,[],110.51421580000897,1452.7927402999921,,,,,
2,35,1,study,roof,[],122.5475817000115,1464.8262224999926,,,,,
2,36,1,study,scarf,[],134.5762759000063,1476.8547830999887,,,,,
2,37,1,study,tabasco,[],146.60487380000995,1488.8834042999952,,,,,
2,38,1,study,blues,[],158.63554899999872,1500.9141008000006,,,,,
2,39,1,study,clouds,[],170.66655890000402,1512.945135099988,,,,,
2,40,1,study,dragonfly,[],182.6931337999995,1524.9716628000024,,,,,
