session,index,condition,type,stim,response,trialtime,globaltime,recall1,recall2,recall3,recall4,recall5
1,1,0,study,kristen,[],8.034488763660192,169.83874657191336,,,,,
1,2,0,study,larry,[],14.043602181598544,175.84784810245037,,,,,
1,3,0,study,league,[],20.044483056291938,181.84832372888923,,,,,
1,4,0,study,lily,[],26.038644747808576,187.8424566294998,,,,,
1,5,0,study,epoch,[],32.03873375244439,193.84277782216668,,,,,
1,6,0,study,blueberry,[],38.03449163772166,199.83826981298625,,,,,
1,7,0,study,goldfish,[],44.032875595614314,205.83670253679156,,,,,
1,8,0,study,racquetball,[],50.032347133383155,211.83616660535336,,,,,
1,9,0,study,peru,[],56.02835501730442,217.8321473058313,,,,,
1,10,0,study,hummingbird,[],62.026808116585016,223.8305929545313,,,,,
1,11,0,study,volvo,[],68.02585398964584,229.82964251376688,,,,,
1,12,0,study,maroon,[],74.022496111691,235.8262859787792,,,,,
1,13,0,study,trolley,[],80.02147449553013,241.82530221901834,,,,,
1,14,0,study,nitrogen,[],86.01994108222425,247.82374125160277,,,,,
1,15,0,study,sheep,[],92.01891209371388,253.82272939383984,,,,,
1,16,0,study,dragonfly,[],98.01492446102202,259.81871191598475,,,,,
1,17,0,study,farmer,[],104.01331548951566,265.8171047400683,,,,,
1,18,0,study,jacket,[],110.01149752363563,271.81532322242856,,,,,
1,19,0,study,oil,[],116.00944110564888,277.8132301457226,,,,,
1,20,0,study,wing,[],122.00817612186074,283.8122616838664,,,,,
1,21,0,study,iowa,[],128.00442182458937,289.80821172334254,,,,,
1,22,0,study,anthropology,[],134.00349720194936,295.8072953950614,,,,,
1,23,0,study,cabin,[],140.00098145008087,301.8047747090459,,,,,
1,24,0,study,electric slide,[],146.00086334906518,307.80468538962305,,,,,
1,25,0,study,uc berkeley,[],151.99794051982462,313.8017438799143,,,,,
1,1,0,recall,[],kristen,7.91882030852139,941.301046712324,kristen,,,,
1,2,0,recall,[],larry,6.679900959134102,949.2374696955085,larry,,,,
1,3,0,recall,[],iowa,4.047640746459365,955.9347586371005,iowa,,,,
1,4,0,recall,[],hummingbird,3.147730803117156,959.9997921213508,hummingbird,,,,
1,5,0,recall,[],uc berkeley,4.747425559908152,963.1653843838722,uc berkeley,,,,
1,6,0,recall,[],dragonfly,4.981378152966499,967.9304298255593,dragonfly,,,,
1,7,0,recall,[],racquetball,4.1815840639173985,972.9288446903229,racquetball,,,,
1,8,0,recall,[],epoch,9.411838702857494,977.1279777120799,epoch,,,,
1,9,0,recall,[],league,7.096673797816038,986.557636462152,league,,,,
1,10,0,recall,[],peru,2.882077829912305,993.6719905287027,peru,,,,
1,11,0,recall,[],nitrogen,12.195817921310663,996.5711013451219,nitrogen,,,,
1,12,0,recall,[],sheep,31.872370671480894,1008.7837516460568,sheep,,,,
1,13,0,recall,[],cabin,9.845551688224077,1040.6737677752972,cabin,,,,
1,14,0,recall,[],done,14.778017077594995,1050.5367024838924,done,,,,
2,26,1,study,galoshes,[],79.29577208682895,1331.3806104771793,,,,,
2,27,1,study,geranium,[],85.2804817929864,1337.3649699315429,,,,,
2,28,1,study,ucla,[],91.27791820466518,1343.3620980009437,,,,,
2,29,1,study,george,[],97.27667195163667,1349.3607641793787,,,,,
2,30,1,study,katherine,[],103.27508987300098,1355.3591948449612,,,,,
2,31,1,study,elm,[],109.27164756134152,1361.3557323981076,,,,,
2,32,1,study,blues,[],115.27123689651489,1367.355348713696,,,,,
2,33,1,study,vise,[],121.26894344948232,1373.3530516512692,,,,,
2,34,1,study,ferry,[],127.26607965491712,1379.3501668404788,,,,,
2,35,1,study,moose,[],133.26654876209795,1385.3507220651954,,,,,
2,36,1,study,tabasco,[],139.2625866420567,1391.3466783780605,,,,,
2,37,1,study,parakeet,[],145.26156272739172,1397.3456727713346,,,,,
2,38,1,study,orlando,[],151.25809729099274,1403.3421763554215,,,,,
2,39,1,study,clouds,[],157.2572797127068,1409.3413607515395,,,,,
2,40,1,study,roof,[],163.25495130568743,1415.3392622731626,,,,,
2,41,1,study,scarf,[],169.25217648223042,1421.336256492883,,,,,
2,42,1,study,janitor,[],175.2507436890155,1427.3348327800632,,,,,
2,43,1,study,iraq,[],181.2482102382928,1433.3323009144515,,,,,
2,44,1,study,nitrogen,[],187.246902089566,1439.3309876136482,,,,,
2,45,1,study,whisk,[],193.24680407345295,1445.3309162911028,,,,,
2,46,1,study,hawaii,[],199.2435155622661,1451.327607858926,,,,,
2,47,1,study,dragonfly,[],205.24100933596492,1457.3250973690301,,,,,
2,48,1,study,audi,[],211.23889493010938,1463.322977695614,,,,,
2,49,1,study,lawnmower,[],217.2377616763115,1469.3218672648072,,,,,
2,50,1,study,league,[],223.23629293963313,1475.3203829992563,,,,,
2,1,1,rp,n _ _ _ _ _ _ _,nitrogen,6.283269166946411,1808.3849955704063,,,,,
2,2,1,rp,b _ _ _ _,boron,9.742441749200225,1815.688843920827,,,,,
2,3,1,rp,o _ _ _ _ _ _,orlando,8.709999790415168,1826.451539253816,,,,,
2,1,1,recall,[],nitrogen,4.531532753258944,2149.724953263998,,nitrogen,,,
2,2,1,recall,[],league,2.130885776132345,2154.2743386290967,,league,,,
2,3,1,recall,[],dragonfly,5.0479325745254755,2156.4229309204966,,dragonfly,,,
2,4,1,recall,[],galoshes,3.4805063363164663,2161.487835081294,,galoshes,,,
2,5,1,recall,[],ucla,1.3488456923514605,2164.9865643475205,,ucla,,,
2,6,1,recall,[],orlando,1.7821089290082455,2166.353080423549,,orlando,,,
2,7,1,recall,[],hawaii,6.430708663538098,2168.1522657144815,,hawaii,,,
2,8,1,recall,[],audi,3.781796008348465,2174.6001016069204,,audi,,,
2,9,1,recall,[],ferry,1.8971644304692745,2178.399393701926,,ferry,,,
2,10,1,recall,[],scarf,4.0482162572443485,2180.315070921555,,scarf,,,
2,11,1,recall,[],george,4.948399128392339,2184.3802649285644,,george,,,
2,12,1,recall,[],katherine,4.748081529513001,2189.3452881090343,,katherine,,,
2,13,1,recall,[],done,15.59407657571137,2194.110353000462,,done,,,
3,51,1,study,deacon,[],36.703101590275764,2432.662685200572,,,,,
3,52,1,study,karen,[],42.69361730478704,2438.6526952795684,,,,,
3,53,1,study,dolphins,[],48.6921804510057,2444.6509913448244,,,,,
3,54,1,study,university of michigan,[],54.691210897639394,2450.650044174865,,,,,
3,55,1,study,ken,[],60.68722786195576,2456.646272134036,,,,,
3,56,1,study,professor,[],66.68568512797356,2462.644506605342,,,,,
3,57,1,study,swordfish,[],72.68285355530679,2468.641658820212,,,,,
3,58,1,study,magnesium,[],78.68151540495455,2474.640354240313,,,,,
3,59,1,study,wolf,[],84.68115225434303,2480.639974337071,,,,,
3,60,1,study,clarinet,[],90.67761081084609,2486.6364237889647,,,,,
3,61,1,study,hawk,[],96.67463182471693,2492.633440250531,,,,,
3,62,1,study,jacket,[],102.67339927330613,2498.632189108059,,,,,
3,63,1,study,oceanography,[],108.67187906615436,2504.630708558485,,,,,
3,64,1,study,futon,[],114.6692792288959,2510.628091916442,,,,,
3,65,1,study,thyme,[],120.66768124513328,2516.6264806259423,,,,,
3,66,1,study,boston,[],126.66516442969441,2522.623971927911,,,,,
3,67,1,study,ireland,[],132.66359423287213,2528.622409818694,,,,,
3,68,1,study,nuclear,[],138.6628021337092,2534.621608968824,,,,,
3,69,1,study,acura,[],144.66005853563547,2540.6188578475267,,,,,
3,70,1,study,eggplant,[],150.65787954814732,2546.6166892163455,,,,,
3,71,1,study,louisiana,[],156.65577082708478,2552.6145689170808,,,,,
3,72,1,study,rugby,[],162.65325210802257,2558.6120489239693,,,,,
3,73,1,study,grape,[],168.65114974975586,2564.6099492441863,,,,,
3,74,1,study,deutschmark,[],174.6509371753782,2570.6097441352904,,,,,
3,75,1,study,daughter,[],180.64792712032795,2576.6067467276007,,,,,
3,1,1,rp,o _ _ _ _ _ _ _ _ _ _ _,o,5.023000992834568,2900.569591578096,,,,,
3,2,1,rp,s _ _ _ _ _ _ _ _,s,4.193646468222141,2906.6139891352504,,,,,
