session,index,condition,type,stim,response,trialtime,globaltime,recall1,recall2,recall3,recall4,recall5
1,1,1,study,karen,[],15.816306799999438,255.0458762999915,,,,,
1,2,1,study,yale,[],21.813674400007585,261.04379419999896,,,,,
1,3,1,study,loafers,[],27.812929499996244,267.0421953999903,,,,,
1,4,1,study,epoch,[],33.84683640000003,273.0761605999869,,,,,
1,5,1,study,light year,[],39.865803900000174,279.0950613999885,,,,,
1,6,1,study,anthropology,[],45.89560519999941,285.12485619999643,,,,,
1,7,1,study,racquetball,[],51.915735899994615,291.1450074999884,,,,,
1,8,1,study,goldfish,[],57.90954399999464,297.13874439999927,,,,,
1,9,1,study,hummingbird,[],63.909875700002885,303.13912389999314,,,,,
1,10,1,study,blueberry,[],69.90920090000145,309.1384016999946,,,,,
1,11,1,study,iowa,[],75.9293217999948,315.15857989998767,,,,,
1,12,1,study,dragonfly,[],81.94629249999707,321.17552809999324,,,,,
1,13,1,study,oil,[],87.96392530000594,327.19317479999154,,,,,
1,14,1,study,maroon,[],93.97296600000118,333.20221559998754,,,,,
1,15,1,study,trolley,[],99.9803130000073,339.20955099999264,,,,,
1,16,1,study,peru,[],106.00968220000505,345.2390568999981,,,,,
1,17,1,study,wing,[],112.03996629999892,351.26923999999417,,,,,
1,18,1,study,volvo,[],118.06682580000779,357.29610959999263,,,,,
1,19,1,study,nitrogen,[],124.08030610000424,363.30955489999906,,,,,
1,20,1,study,sheep,[],130.11337550000462,369.342650999999,,,,,
1,21,1,study,jacket,[],136.14088540000375,375.3701238999929,,,,,
1,22,1,study,cabin,[],142.15914610000618,381.38843469999847,,,,,
1,23,1,study,farmer,[],148.1604207000055,387.38963669999794,,,,,
1,24,1,study,line dance,[],154.179504300002,393.4088020999916,,,,,
1,25,1,study,zach,[],160.21300210000481,399.4423332000006,,,,,
1,1,1,rp,r _ _ _ _ _ _ _ _ _ _,r,11.346046400009072,722.7992014999909,,,,,
1,2,1,rp,n _ _ _ _ _ _ _,n,9.434630100004142,735.1786603999935,,,,,
1,3,1,rp,o _ _,oil,2.3357747999980347,745.6586406999995,,,,,
1,1,1,recall,[],epoch,7.280172500002664,1057.164573999995,epoch,,,,
1,2,1,recall,[],karen,3.477057900003274,1064.466763999997,karen,,,,
1,3,1,recall,[],oil,2.961423400003696,1067.9664173999918,oil,,,,
1,4,1,recall,[],hummingbird,8.761176500003785,1070.9659736999893,hummingbird,,,,
1,5,1,recall,[],wing,2.5782483000075445,1079.749705899987,wing,,,,
1,6,1,recall,[],dragonfly,17.56114720000187,1082.349339399996,dragonfly,,,,
1,7,1,recall,[],done,5.777228399994783,1099.9336124999973,done,,,,
2,26,1,study,line dance,[],11.366119300000719,1308.4491645999951,,,,,
2,27,1,study,university of michigan,[],17.376102299997,1314.4588806999964,,,,,
2,28,1,study,linda,[],23.39685429999372,1320.4796324999916,,,,,
2,29,1,study,gladiola,[],29.40255199999956,1326.485318799998,,,,,
2,30,1,study,ken,[],35.43797040000209,1332.521010899989,,,,,
2,31,1,study,dragonfly,[],41.44875850000244,1338.5315738999925,,,,,
2,32,1,study,vise,[],47.472405399996205,1344.5557918999984,,,,,
2,33,1,study,blues,[],53.49495140000363,1350.5778213999874,,,,,
2,34,1,study,moose,[],59.50837490000413,1356.5911516999913,,,,,
2,35,1,study,elm,[],65.53762509999797,1362.6205020999914,,,,,
2,36,1,study,hawaii,[],71.55426839999564,1368.6370513999864,,,,,
2,37,1,study,scarf,[],77.56917299999623,1374.6519592999975,,,,,
2,38,1,study,nitrogen,[],83.58839330000046,1380.6712165999925,,,,,
2,39,1,study,parakeet,[],89.61105160000443,1386.6938697000005,,,,,
2,40,1,study,orlando,[],95.63505630000145,1392.7202015999937,,,,,
2,41,1,study,ferry,[],101.64100529999996,1398.7238546000008,,,,,
2,42,1,study,whisk,[],107.6603277999966,1404.743121499996,,,,,
2,43,1,study,tabasco,[],113.6702268999943,1410.7530497999978,,,,,
2,44,1,study,clouds,[],119.70342530000198,1416.7862501999916,,,,,
2,45,1,study,roof,[],125.72048469999572,1422.8032973999943,,,,,
2,46,1,study,iraq,[],131.74497820000397,1428.8277930999902,,,,,
2,47,1,study,audi,[],137.75572159999865,1434.8385184999934,,,,,
2,48,1,study,janitor,[],143.76058550000016,1440.8437367000006,,,,,
2,49,1,study,lira,[],149.7557364999957,1446.8386099999916,,,,,
2,50,1,study,generation,[],155.79829469999822,1452.8811219999916,,,,,
2,1,1,rp,n _ _ _ _ _ _ _,nitrogen,3.108344499996747,1774.8350330999965,,,,,
2,2,1,rp,c _ _ _ _ _,c,3.8078427000000374,1778.9686451999878,,,,,
2,3,1,rp,v _ _ _,vice,3.074028000002727,1783.81908809999,,,,,
2,1,1,recall,[],linedance,5.936422099999618,2095.041546499997,,linedance,,,
2,2,1,recall,[],vice,4.6604315000004135,2100.9991171999864,,vice,,,
2,3,1,recall,[],blues,1.926897800003644,2105.6820527999953,,blues,,,
2,4,1,recall,[],moose,1.3449447000020882,2107.6318784999894,,moose,,,
2,5,1,recall,[],nitrogen,4.312163299997337,2108.997351099999,,nitrogen,,,
2,6,1,recall,[],dragonfly,2.262277500005439,2113.3306902999902,,dragonfly,,,
2,7,1,recall,[],lisa,2.1775892000005115,2115.615317799995,,lisa,,,
2,8,1,recall,[],dragonfly,7.894537100000889,2117.814634999988,,dragonfly,,,
2,9,1,recall,[],tabasco,15.410632999992231,2125.748052099996,,tabasco,,,
2,10,1,recall,[],done,4.377446599988616,2141.182013400001,,done,,,
3,51,0,study,decimeter,[],73.36422709999897,2407.4617359999975,,,,,
3,52,0,study,katherine,[],79.36675120001019,2413.4639771999937,,,,,
3,53,0,study,kyle,[],85.35505710000871,2419.4522884999897,,,,,
3,54,0,study,ucla,[],91.3742506000126,2425.4714917999954,,,,,
3,55,0,study,direct object,[],97.40781220000645,2431.505048299994,,,,,
3,56,0,study,rugby,[],103.43530550001014,2437.5326130999892,,,,,
