session,index,condition,type,stim,response,trialtime,globaltime,recall1,recall2,recall3,recall4,recall5
1,1,0,study,watering can,[],12.999570100015262,616.6074242000177,,,,,
1,2,0,study,nicole,[],19.006703200022457,622.6267480000097,,,,,
1,3,0,study,watering can,[],25.00571470000432,628.6133198000025,,,,,
1,4,0,study,elizabeth,[],31.035141100001056,634.642803900002,,,,,
1,5,0,study,eric,[],37.0418037000054,640.6495340999973,,,,,
1,6,0,study,teeth,[],43.043722100002924,646.6513526000199,,,,,
1,7,0,study,aqua,[],49.053784200019436,652.6638439000235,,,,,
1,8,0,study,dallas,[],55.06239480001386,658.6724407000002,,,,,
1,9,0,study,ball,[],61.07972560002236,664.6897118000197,,,,,
1,10,0,study,potato,[],67.10229820001405,670.7099434999982,,,,,
1,11,0,study,jets,[],73.12210599999526,676.7297485000163,,,,,
1,12,0,study,igloo,[],79.13333179999609,682.7409870999982,,,,,
1,13,0,study,rat,[],85.15064550001989,688.7583254000056,,,,,
1,14,0,study,cadillac,[],91.15667480000411,694.7642956000054,,,,,
1,15,0,study,kansas,[],97.16617840001709,700.7762464000261,,,,,
1,16,0,study,sandpaper,[],103.1759176000196,706.7835287000053,,,,,
1,17,0,study,vinegar,[],109.19393820001278,712.801678000018,,,,,
1,18,0,study,opera,[],115.1998247000156,718.8075033000205,,,,,
1,19,0,study,hornet,[],121.21529620001093,724.8229680000222,,,,,
1,20,0,study,letter,[],127.2293741000176,730.8370978000166,,,,,
1,21,0,study,motorboat,[],133.2249297000235,736.8325466000242,,,,,
1,22,0,study,germany,[],139.240604599996,742.8483313000179,,,,,
1,23,0,study,flannel,[],145.27042760001495,748.8807230000093,,,,,
1,24,0,study,zach,[],151.26518290000968,754.8731923000014,,,,,
1,25,0,study,watering can,[],157.30265690002125,760.9126113000093,,,,,
1,1,0,recall,[],watering can,4.296438399993349,1384.1102090000059,watering can,,,,
1,2,0,recall,[],done,5.318739100010134,1388.4244064000086,done,,,,
2,26,1,study,josh,[],639.4890357000113,2222.8483306000126,,,,,
2,27,1,study,mambo,[],645.4963478000136,2228.8577041000244,,,,,
2,28,1,study,michael,[],651.521896500024,2234.883554,,,,,
2,29,1,study,monk,[],657.5311050000018,2240.890155900008,,,,,
2,30,1,study,manganese,[],663.5397593000089,2246.8989516000147,,,,,
2,31,1,study,gray,[],669.554493100004,2252.915882100002,,,,,
2,32,1,study,lace,[],675.5711205000116,2258.9324920000217,,,,,
2,33,1,study,willow,[],681.5878029000014,2264.9469072000065,,,,,
2,34,1,study,hawaii,[],687.587614100019,2270.946710500022,,,,,
2,35,1,study,kayak,[],693.5850135000073,2276.9441249000083,,,,,
2,36,1,study,chicken,[],699.5987235000066,2282.957823500008,,,,,
2,37,1,study,acura,[],705.622456800018,2288.984093100007,,,,,
2,38,1,study,spider,[],711.6329137000139,2294.9920224000234,,,,,
2,39,1,study,boron,[],717.632288599998,2300.991443600011,,,,,
2,40,1,study,vest,[],723.6339521000045,2306.9930718000105,,,,,
2,41,1,study,zucchini,[],729.6357431000215,2312.99480830002,,,,,
2,42,1,study,entrance,[],735.6502961000078,2319.0137347000127,,,,,
2,43,1,study,dresser,[],741.6597363000037,2325.019189200015,,,,,
2,44,1,study,nectarine,[],747.678798900015,2331.0402385000198,,,,,
2,45,1,study,periodical,[],753.6801296000194,2337.039297500014,,,,,
2,46,1,study,israel,[],759.7019609000126,2343.0623963000253,,,,,
2,47,1,study,townhouse,[],765.7073308000108,2349.066648600012,,,,,
2,48,1,study,rat,[],771.7206638000207,2355.07977500002,,,,,
2,49,1,study,marigold,[],777.7312859000231,2361.090343900025,,,,,
