session,index,condition,type,stim,response,trialtime,globaltime,recall1,recall2,recall3,recall4,recall5
1,1,1,study,jim,[],17.76993577182293,222.2240017335862,,,,,
1,2,1,study,william and mary,[],23.762056110426784,228.21615032665431,,,,,
1,3,1,study,lisa,[],29.758510183542967,234.21218373253942,,,,,
1,4,1,study,interjection,[],35.75904640182853,240.21269525960088,,,,,
1,5,1,study,jets,[],41.75392346084118,246.2075295355171,,,,,
1,6,1,study,atlanta,[],47.751175006851554,252.2047851998359,,,,,
1,7,1,study,herbs,[],53.75109990127385,258.2047488410026,,,,,
1,8,1,study,physicist,[],59.749632174149156,264.2032680734992,,,,,
1,9,1,study,rafters,[],65.74751413054764,270.2011534590274,,,,,
1,10,1,study,ferrari,[],71.74439665861428,276.19798969104886,,,,,
1,11,1,study,typhoon,[],77.74347867071629,282.19709813036025,,,,,
1,12,1,study,zucchini,[],83.74137683399022,288.19501406513155,,,,,
1,13,1,study,owl,[],89.73763327859342,294.1912378426641,,,,,
1,14,1,study,carriage,[],95.73694531619549,300.19057708606124,,,,,
1,15,1,study,viola,[],101.73381890542805,306.1874277666211,,,,,
1,16,1,study,bowling,[],107.73245196603239,312.1861006077379,,,,,
1,17,1,study,sander,[],113.73052412644029,318.1841220129281,,,,,
1,18,1,study,nectarine,[],119.72774965502322,324.1813814025372,,,,,
1,19,1,study,donkey,[],125.72891738452017,330.18257965520024,,,,,
1,20,1,study,mississippi,[],131.7239377554506,336.1775347404182,,,,,
1,21,1,study,greece,[],137.72170771844685,342.17531139589846,,,,,
1,22,1,study,elm,[],143.7201318256557,348.1740656103939,,,,,
1,23,1,study,kerosene,[],149.72014962136745,354.1741913110018,,,,,
1,24,1,study,loafers,[],155.716003857553,360.16976119205356,,,,,
1,25,1,study,line dance,[],161.7146826647222,366.16830608807504,,,,,
1,1,1,rp,d _ _ _ _ _,,29.164799358695745,707.8745249863714,,,,,
1,2,1,rp,h _ _ _ _,horse,42.564729204401374,738.0607623793185,,,,,
1,3,1,rp,o _ _,oat,5.011126356199384,781.6452225204557,,,,,
1,1,1,recall,[],mississippi,3.192020796239376,1118.0550095234066,mississippi,,,,
1,2,1,recall,[],jim,1.9650683384388685,1121.2644851468503,jim,,,,
1,3,1,recall,[],lisa,2.5816319677978754,1123.2469825129956,lisa,,,,
1,4,1,recall,[],william and mary,3.0985506363213062,1125.845759326592,william and mary,,,,
1,5,1,recall,[],zucchini,15.961109325289726,1128.96136248298,zucchini,,,,
1,6,1,recall,[],ferrari,24.00698660686612,1144.93941347301,ferrari,,,,
1,7,1,recall,[],carriage,7.780292531475425,1168.9650720395148,carriage,,,,
1,8,1,recall,[],interjection,43.05206288211048,1176.762272592634,interjection,,,,
1,9,1,recall,[],done,1.914763905107975,1219.8318083491176,done,,,,
2,26,1,study,nanosecond,[],45.46808743849397,1458.5601771995425,,,,,
2,27,1,study,university of michigan,[],51.466927917674184,1464.5582852791995,,,,,
2,28,1,study,kevin,[],57.4631890617311,1470.5545078516006,,,,,
2,29,1,study,flip flops,[],63.461851846426725,1476.5531658008695,,,,,
2,30,1,study,fruit punch,[],69.45980975218117,1482.5511328596622,,,,,
2,31,1,study,oil,[],75.45751651003957,1488.5488444585353,,,,,
2,32,1,study,lamborghini,[],81.45679379813373,1494.5481225177646,,,,,
2,33,1,study,hat,[],87.45239116437733,1500.5437363628298,,,,,
2,34,1,study,alternative,[],93.45224148966372,1506.5435729920864,,,,,
2,35,1,study,eucalyptus,[],99.4492894615978,1512.540610652417,,,,,
2,36,1,study,swordfish,[],105.44677542336285,1518.538087869063,,,,,
2,37,1,study,viola,[],111.44584189541638,1524.5371865537018,,,,,
2,38,1,study,island,[],117.44449879042804,1530.5358094591647,,,,,
2,39,1,study,bowling,[],123.44094155542552,1536.53225906007,,,,,
2,40,1,study,journal,[],129.44062221236527,1542.531947042793,,,,,
2,41,1,study,china,[],135.4373805206269,1548.5287150591612,,,,,
2,42,1,study,grasshopper,[],141.43551962263882,1554.526835942641,,,,,
2,43,1,study,teeth,[],147.43376017175615,1560.5250871032476,,,,,
2,44,1,study,rowboat,[],153.43122744001448,1566.522539075464,,,,,
2,45,1,study,doll,[],159.42841329798102,1572.5197265502065,,,,,
2,46,1,study,wyoming,[],165.42780716344714,1578.5192122440785,,,,,
2,47,1,study,magnesium,[],171.42552464455366,1584.516837971285,,,,,
2,48,1,study,pineapple,[],177.42330926470459,1590.5146324392408,,,,,
2,49,1,study,foxtrot,[],183.4221507795155,1596.5135013870895,,,,,
2,50,1,study,karen,[],189.4209108185023,1602.5122474059463,,,,,
2,1,1,rp,l _ _ _ _ _ _ _ _ _ _,lamborghini,14.137522349134088,1971.1243115700781,,,,,
2,2,1,rp,r _ _ _ _ _ _,r,32.134961899369955,1986.2834091372788,,,,,
2,3,1,rp,i _ _ _ _ _,iguana,14.257822826504707,2019.4385068621486,,,,,
2,1,1,recall,[],lamborghini,5.521707821637392,2368.8629696294665,,lamborghini,,,
2,2,1,recall,[],viola,2.130942167714238,2374.402716839686,,viola,,,
2,3,1,recall,[],pineapple,4.398149363696575,2376.5509623046964,,pineapple,,,
2,4,1,recall,[],flip flops,4.797362267971039,2380.9662045482546,,flip flops,,,
2,5,1,recall,[],kevin,2.1822026688605547,2385.7813274953514,,kevin,,,
2,6,1,recall,[],oil,4.547830609604716,2387.9804786425084,,oil,,,
2,7,1,recall,[],china,4.697529625147581,2392.546521089971,,china,,,
2,8,1,recall,[],done,105.31475128792226,2397.260942913592,,done,,,
3,51,0,study,reverend,[],208.37833351641893,2896.88854415901,,,,,
3,52,0,study,rachel,[],214.37520996294916,2902.8844160865992,,,,,
3,53,0,study,mambo,[],220.37152994796634,2908.880696553737,,,,,
3,54,0,study,uc berkeley,[],226.37078635394573,2914.8806001152843,,,,,
3,55,0,study,rob,[],232.36772030219436,2920.876900136471,,,,,
3,56,0,study,futon,[],238.36631813831627,2926.87552424334,,,,,
3,57,0,study,kayak,[],244.36431206390262,2932.873791800812,,,,,
3,58,0,study,willow,[],250.362034836784,2938.8714252319187,,,,,
3,59,0,study,italy,[],256.35991047509015,2944.8692087884992,,,,,
3,60,0,study,coal,[],262.3586224671453,2950.8677779473364,,,,,
3,61,0,study,grasshopper,[],268.3566250093281,2956.865781504661,,,,,
3,62,0,study,nissan,[],274.3551684971899,2962.864347225055,,,,,
3,63,0,study,aluminum,[],280.35207858867943,2968.8612353652716,,,,,
3,64,0,study,piranha,[],286.3496076539159,2974.8590219579637,,,,,
3,65,0,study,jet,[],292.34812138974667,2980.857291985303,,,,,
3,66,0,study,elevator,[],298.3471691031009,2986.856339143589,,,,,
3,67,0,study,tambourine,[],304.34553712420166,2992.854704916477,,,,,
3,68,0,study,louisiana,[],310.3422529604286,2998.851426720619,,,,,
3,69,0,study,hip,[],316.34041443280876,3004.849590571597,,,,,
3,70,0,study,oregano,[],322.33894665539265,3010.8481280319393,,,,,
3,71,0,study,sandpaper,[],328.3376231137663,3016.8467799946666,,,,,
3,72,0,study,deer,[],334.3357139453292,3022.8448804784566,,,,,
3,73,0,study,beige,[],340.3322119731456,3028.841364076361,,,,,
3,74,0,study,vikings,[],346.3313419688493,3034.840509098023,,,,,
3,75,0,study,ruble,[],352.3283632379025,3040.8375268764794,,,,,
