session,index,condition,type,stim,response,trialtime,globaltime,recall1,recall2,recall3,recall4,recall5
1,1,0,study,larry,[],17.672217900049873,302.5656498000026,,,,,
1,2,0,study,lily,[],23.681376400054432,308.57582679996267,,,,,
1,3,0,study,epoch,[],29.678695300011896,314.5718285999028,,,,,
1,4,0,study,lindsay,[],35.67963519995101,320.573057499947,,,,,
1,5,0,study,euro,[],41.68022660003044,326.57361569989007,,,,,
1,6,0,study,farmer,[],47.68214579997584,332.57554249989334,,,,,
1,7,0,study,racquetball,[],53.68229539995082,338.5757500999607,,,,,
1,8,0,study,wing,[],59.68331750005018,344.5767513999017,,,,,
1,9,0,study,oil,[],65.68004959996324,350.57347499998286,,,,,
1,10,0,study,iowa,[],71.67890489997808,356.5724171999609,,,,,
1,11,0,study,jacket,[],77.68342959997244,362.57659349997994,,,,,
1,12,0,study,goldfish,[],83.67881730000954,368.5722639999585,,,,,
1,13,0,study,peru,[],89.68028760002926,374.5736804999178,,,,,
1,14,0,study,anthropology,[],95.67621429997962,380.56958969996776,,,,,
1,15,0,study,nitrogen,[],101.67974759999197,386.5731438999064,,,,,
1,16,0,study,maroon,[],107.67948539997451,392.5728756999597,,,,,
1,17,0,study,trolley,[],113.67509879998397,398.56810929998755,,,,,
1,18,0,study,dragonfly,[],119.68009449995589,404.573490699986,,,,,
1,19,0,study,sheep,[],125.6829027000349,410.5763088999083,,,,,
1,20,0,study,volvo,[],131.679649699945,416.5730360999005,,,,,
1,21,0,study,blueberry,[],137.71856980002485,422.61201749998145,,,,,
1,22,0,study,hummingbird,[],143.71334889996797,428.6067488999106,,,,,
1,23,0,study,cabin,[],149.71038179995958,434.6036335999379,,,,,
1,24,0,study,usc,[],155.71299759997055,440.6061089999275,,,,,
1,25,0,study,loafers,[],161.71105499996338,446.6042314999504,,,,,
1,1,0,recall,[],jacket,3.7489161000121385,1066.5232060999842,jacket,,,,
1,2,0,recall,[],blueberry,4.344364900025539,1070.294225999969,blueberry,,,,
1,3,0,recall,[],larry,3.027517699985765,1074.6605033999076,larry,,,,
1,4,0,recall,[],lindsay,4.561206700047478,1077.7109863999067,lindsay,,,,
1,5,0,recall,[],euro,2.078724299906753,1082.2934810000006,euro,,,,
1,6,0,recall,[],volvo,5.227801200002432,1084.3933569999645,volvo,,,,
1,7,0,recall,[],lily,2.843173799919896,1089.644462199998,lily,,,,
