session,index,condition,type,stim,response,trialtime,globaltime,recall1,recall2,recall3,recall4,recall5
1,1,0,study,elizabeth,[],3.9554342000046745,212.34991980000632,,,,,
1,2,0,study,yen,[],9.958922799996799,218.35385470002075,,,,,
1,3,0,study,neon,[],15.957793299981859,224.3521304000169,,,,,
1,4,0,study,erin,[],21.951107799977763,230.34575350000523,,,,,
1,5,0,study,nick,[],27.976714199990965,236.37101130001247,,,,,
1,6,0,study,dallas,[],33.99201180000091,242.38881430000765,,,,,
1,7,0,study,vinegar,[],40.0121370999841,248.4095669000235,,,,,
1,8,0,study,igloo,[],46.03271479997784,254.4270006000006,,,,,
1,9,0,study,letter,[],52.03026299999328,260.4245365000097,,,,,
1,10,0,study,rat,[],58.057584499998484,266.4519191000145,,,,,
1,11,0,study,hornet,[],64.05928329998278,272.45354810002027,,,,,
1,12,0,study,jets,[],70.06561619997956,278.45986050000647,,,,,
1,13,0,study,kansas,[],76.0734775000019,284.4707966000133,,,,,
1,14,0,study,germany,[],82.08655499998713,290.4808796000143,,,,,
1,15,0,study,motorboat,[],88.09328669999377,296.4901021000114,,,,,
1,16,0,study,aqua,[],94.0991190999921,302.49337700000615,,,,,
1,17,0,study,ball,[],100.10272870000335,308.4993315000029,,,,,
1,18,0,study,potato,[],106.11725509999087,314.5116173000133,,,,,
1,19,0,study,sandpaper,[],112.13394739999785,320.5282511000114,,,,,
1,20,0,study,teeth,[],118.15275670000119,326.54982750001363,,,,,
1,21,0,study,flannel,[],124.15918539999984,332.55344650000916,,,,,
1,22,0,study,cadillac,[],130.1678866999864,338.5621259000036,,,,,
1,23,0,study,opera,[],136.18097289997968,344.57529230002547,,,,,
1,24,0,study,euro,[],142.19377319997875,350.59090080001624,,,,,
1,25,0,study,nate,[],148.20635500000208,356.6006414000003,,,,,
1,1,0,recall,[],aqua,3.718204600008903,978.7529402000073,aqua,,,,
1,2,0,recall,[],elizabeth,2.232531100016786,982.490816000005,elizabeth,,,,
1,3,0,recall,[],germany,2.3185121999995317,984.7390782000148,germany,,,,
1,4,0,recall,[],igloo,4.901321799989091,987.0731009000156,igloo,,,,
1,5,0,recall,[],done,9.285595399996964,991.9913208000071,done,,,,
2,26,1,study,justin,[],76.73963939998066,1265.739135300013,,,,,
2,27,1,study,josh,[],82.74016950000077,1271.7395321000076,,,,,
2,28,1,study,jason,[],88.75440459998208,1277.753664900025,,,,,
2,29,1,study,macarena,[],94.76498509998783,1283.7642636000237,,,,,
2,30,1,study,magnesium,[],100.784594799974,1289.7839543000155,,,,,
2,31,1,study,willow,[],106.79123959998833,1295.7906108000025,,,,,
2,32,1,study,entrance,[],112.79913949998445,1301.800725500012,,,,,
2,33,1,study,acura,[],118.81803499997477,1307.8202472000266,,,,,
2,34,1,study,periodical,[],124.85453739998047,1313.8553764000244,,,,,
2,35,1,study,spider,[],130.8637158999918,1319.8629986000014,,,,,
2,36,1,study,nectarine,[],136.86467699997593,1325.8639767999994,,,,,
2,37,1,study,chicken,[],142.86806409998098,1331.8673739000224,,,,,
2,38,1,study,vest,[],148.87344209998264,1337.8765534000122,,,,,
2,39,1,study,townhouse,[],154.88281629999983,1343.8820983000041,,,,,
2,40,1,study,israel,[],160.8914691999962,1349.8907476000022,,,,,
2,41,1,study,lace,[],166.89956599997822,1355.9014257000235,,,,,
2,42,1,study,hawaii,[],172.91570109999157,1361.9166057000111,,,,,
2,43,1,study,kayak,[],178.91253489998053,1367.911789100006,,,,,
2,44,1,study,zucchini,[],184.93457099999068,1373.9361663000018,,,,,
2,45,1,study,gray,[],190.94929419999244,1379.9496885000262,,,,,
2,46,1,study,rat,[],196.95761689997744,1385.9617927000218,,,,,
2,47,1,study,boron,[],202.97155649997876,1391.9709503000195,,,,,
2,48,1,study,dresser,[],208.96986289997585,1397.9691263000132,,,,,
2,49,1,study,orchid,[],214.97025980000035,1403.969530500006,,,,,
2,50,1,study,magnesium,[],220.96222029998899,1409.9615233000077,,,,,
2,1,1,rp,z _ _ _ _ _ _ _,z,4.750661800004309,1731.3694182000181,,,,,
2,2,1,rp,v _ _ _,view,6.884769399999641,1737.155314100004,,,,,
2,3,1,rp,e _ _ _ _ _ _ _,eastern,10.816223000001628,1745.0759814000048,,,,,
2,1,1,recall,[],magnesium,3.689140700007556,2068.2360697000113,,magnesium,,,
2,2,1,recall,[],acura,1.2656397999962792,2071.9408791000023,,acura,,,
2,3,1,recall,[],justin,1.5662893000117037,2073.224973400007,,justin,,,
2,4,1,recall,[],josh,2.0168227000103798,2074.8081710000115,,josh,,,
2,5,1,recall,[],jason,1.5000783000141382,2076.8420262,,jason,,,
2,6,1,recall,[],done,21.806546299980255,2078.35921330002,,done,,,
3,51,0,study,manganese,[],49.87285990000237,2337.0147416000254,,,,,
3,52,0,study,jenny,[],55.87076829999569,2343.0123973000154,,,,,
3,53,0,study,yen,[],61.87303139999858,2349.0146586000046,,,,,
3,54,0,study,monk,[],67.88407269999152,2355.0257087000064,,,,,
3,55,0,study,justin,[],73.89208890000009,2361.0360566000163,,,,,
3,56,0,study,ocean,[],79.91555489998427,2367.0572910000046,,,,,
3,57,0,study,entrance,[],85.94192829998792,2373.0863053000066,,,,,
3,58,0,study,volleyball,[],91.95193079998717,2379.0961956000247,,,,,
3,59,0,study,italy,[],97.9614137999888,2385.10309650001,,,,,
3,60,0,study,blueberry,[],103.97168879999663,2391.1157533000223,,,,,
3,61,0,study,kite,[],109.96966169998632,2397.11128870002,,,,,
3,62,0,study,chicago,[],115.99357160000363,2403.135329600016,,,,,
