session,index,condition,type,stim,response,trialtime,globaltime,recall1,recall2,recall3,recall4,recall5
1,1,1,study,elizabeth,[],7.062829300004523,183.454579199999,,,,,
1,2,1,study,kyle,[],13.090248100008466,189.4823419000022,,,,,
1,3,1,study,loafers,[],19.120289700003923,195.51177169999573,,,,,
1,4,1,study,usc,[],25.149124300005496,201.5405740999995,,,,,
1,5,1,study,electric slide,[],31.160687400013558,207.55213929999445,,,,,
1,6,1,study,hummingbird,[],37.17483440000797,213.56628420000197,,,,,
1,7,1,study,volvo,[],43.19076820000191,219.58218759999727,,,,,
1,8,1,study,blueberry,[],49.212454400010756,225.60388720000628,,,,,
1,9,1,study,anthropology,[],55.23981920001097,231.63131929999508,,,,,
1,10,1,study,maroon,[],61.26880390000588,237.66024779999861,,,,,
1,11,1,study,jacket,[],67.29661490001308,243.68810109999322,,,,,
1,12,1,study,sheep,[],73.32813190000888,249.71961260000535,,,,,
1,13,1,study,peru,[],79.3576568000135,255.74912320000294,,,,,
1,14,1,study,farmer,[],85.38912120000168,261.780960300006,,,,,
1,15,1,study,wing,[],91.42065620000358,267.8121281000058,,,,,
1,16,1,study,trolley,[],97.4495437000005,273.8410084000061,,,,,
1,17,1,study,nitrogen,[],103.4690641000052,279.86312259999977,,,,,
1,18,1,study,racquetball,[],109.50801920000231,285.8994883999985,,,,,
1,19,1,study,dragonfly,[],115.5363861000078,291.92785199999344,,,,,
1,20,1,study,goldfish,[],121.56708290000097,297.95855460000166,,,,,
1,21,1,study,oil,[],127.58159480000904,303.9730649999983,,,,,
1,22,1,study,iowa,[],133.61750830001256,310.0119268999988,,,,,
1,23,1,study,cabin,[],139.65813660000276,316.049597499994,,,,,
1,24,1,study,yen,[],145.6868977000122,322.07838269999775,,,,,
1,25,1,study,light year,[],151.7181503000029,328.10958129999926,,,,,
1,1,1,rp,d _ _ _ _ _ _ _ _,dragonfly,8.501865300000645,653.0547514000064,,,,,
1,2,1,rp,p _ _ _,peru,2.3861918000038713,662.5841823999945,,,,,
1,3,1,rp,v _ _ _ _,volvo,3.55824169999687,665.9956313000002,,,,,
1,1,1,recall,[],elizabeth,10.048872700004722,980.6059922999993,elizabeth,,,,
1,2,1,recall,[],kyle,2.211987400005455,990.6746814999933,kyle,,,,
1,3,1,recall,[],loafers,4.009139200003119,992.9070329999959,loafers,,,,
1,4,1,recall,[],usc,1.6253752000047825,996.9406039000023,usc,,,,
1,5,1,recall,[],fish,5.127110700006597,998.5887706999929,fish,,,,
1,6,1,recall,[],oil,1.912613099993905,1003.7374791000038,oil,,,,
1,7,1,recall,[],sheep,1.2921314999985043,1005.6728863000026,sheep,,,,
1,8,1,recall,[],jacket,1.2963709000032395,1006.9873930000031,jacket,,,,
1,9,1,recall,[],peru,1.8944209000037517,1008.3052660999965,peru,,,,
1,10,1,recall,[],farmer,1.4313352000026498,1010.2354634999938,farmer,,,,
