session,index,condition,type,stim,response,trialtime,globaltime,recall1,recall2,recall3,recall4,recall5
1,1,0,study,erin,[],12.783038699999452,238.99020290002227,,,,,
1,2,0,study,kyle,[],18.812039299984463,245.01970599999186,,,,,
1,3,0,study,usc,[],24.820295999990776,251.02718919992913,,,,,
1,4,0,study,lira,[],30.83716530003585,257.04400739993434,,,,,
1,5,0,study,league,[],36.86801820003893,263.07484729995485,,,,,
1,6,0,study,dragonfly,[],42.89707509998698,269.10399049997795,,,,,
1,7,0,study,jacket,[],48.92447710002307,275.1313153000083,,,,,
1,8,0,study,volvo,[],54.9414003000129,281.1482511999784,,,,,
1,9,0,study,farmer,[],60.954909799969755,287.161746299942,,,,,
1,10,0,study,blueberry,[],66.9720418000361,293.17889079998713,,,,,
1,11,0,study,sheep,[],72.98683670000173,299.19372709991876,,,,,
1,12,0,study,oil,[],79.02137969993055,305.2282997999573,,,,,
1,13,0,study,iowa,[],85.05504220002331,311.2643532999791,,,,,
1,14,0,study,anthropology,[],91.08595520001836,317.29276959993877,,,,,
1,15,0,study,racquetball,[],97.10363459994551,323.3104630999733,,,,,
1,16,0,study,nitrogen,[],103.12454690004233,329.3313745999476,,,,,
1,17,0,study,wing,[],109.13607000000775,335.3429046999663,,,,,
1,18,0,study,cabin,[],115.14443440001924,341.35131940001156,,,,,
1,19,0,study,peru,[],121.14797940000426,347.354811499943,,,,,
1,20,0,study,trolley,[],127.17876609996893,353.38562189997174,,,,,
1,21,0,study,maroon,[],133.1956036000047,359.40249160001986,,,,,
1,22,0,study,hummingbird,[],139.20144850004,365.40829529997427,,,,,
1,23,0,study,goldfish,[],145.20844509999733,371.41531429998577,,,,,
1,24,0,study,electric slide,[],151.23843379993923,377.44533799996134,,,,,
1,25,0,study,lawnmower,[],157.25566889997572,383.4624995000195,,,,,
1,1,0,recall,[],kyle,3.2735143000027165,1005.661529099918,kyle,,,,
1,2,0,recall,[],erin,1.2775942001026124,1008.956950499909,erin,,,,
1,3,0,recall,[],usc,3.4946184000000358,1010.2575123999268,usc,,,,
1,4,0,recall,[],lira,2.2288965999614447,1013.7745966999792,lira,,,,
1,5,0,recall,[],anthropology,8.780528499977663,1016.0250345999375,anthropology,,,,
1,6,0,recall,[],sheep,1.494937999988906,1024.8284089999506,sheep,,,,
1,7,0,recall,[],oil,1.495025199954398,1026.3448469999712,oil,,,,
1,8,0,recall,[],volvo,1.644820399931632,1027.8622155999765,volvo,,,,
1,9,0,recall,[],jacket,5.131084499997087,1029.5297425999306,jacket,,,,
1,10,0,recall,[],wing,4.6470314000034705,1034.68045539991,wing,,,,
1,11,0,recall,[],maroon,24.8686523999786,1039.349489999935,maroon,,,,
1,12,0,recall,[],dragonfly,15.315833800006658,1064.2406983999535,dragonfly,,,,
1,13,0,recall,[],done,12.963999400031753,1079.5793561999453,done,,,,
2,26,1,study,kristen,[],16.08539689995814,1297.9083645999199,,,,,
2,27,1,study,georgia tech,[],22.096429700031877,1303.9187721000053,,,,,
2,28,1,study,loafers,[],28.118292800034396,1309.9406580999494,,,,,
2,29,1,study,grandmother,[],34.14669049996883,1315.9690274000168,,,,,
2,30,1,study,gardenia,[],40.16056670004036,1321.9829113999149,,,,,
2,31,1,study,scarf,[],46.18335329997353,1328.005773999961,,,,,
2,32,1,study,iraq,[],52.184873300022446,1334.0072058999212,,,,,
2,33,1,study,tabasco,[],58.20703920000233,1340.0293858000077,,,,,
2,34,1,study,janitor,[],64.21978529996704,1346.0421264999313,,,,,
2,35,1,study,elm,[],70.23074200004339,1352.0531320999144,,,,,
2,36,1,study,roof,[],76.25578190002125,1358.0781276000198,,,,,
2,37,1,study,nitrogen,[],82.28290390002076,1364.1063692999305,,,,,
2,38,1,study,hawaii,[],88.30406600004062,1370.126402099966,,,,,
2,39,1,study,dragonfly,[],94.32001619995572,1376.142468899954,,,,,
2,40,1,study,vise,[],100.34685149998404,1382.1691912999377,,,,,
2,41,1,study,clouds,[],106.35612160002347,1388.1784718999406,,,,,
2,42,1,study,whisk,[],112.37525279994588,1394.1976105999202,,,,,
2,43,1,study,audi,[],118.4058905999409,1400.2282916000113,,,,,
